time,setpoint,z,z_clean,vz,tof_range,baro_alt
0.000000,0.300000,0.303301,0.300000,0.000000,0.309691,0.229775
0.002500,0.300000,0.291171,0.300000,0.000000,0.284789,0.369678
0.005000,0.300000,0.299598,0.300000,0.000000,0.300307,0.336872
0.007500,0.300000,0.302119,0.300000,0.000000,0.305260,0.211114
0.010000,0.300000,0.299803,0.300000,0.000000,0.298280,0.272918
0.012500,0.300000,0.309300,0.300000,0.000000,0.305037,0.230243
0.015000,0.300000,0.304042,0.300000,0.000000,0.296870,0.182259
0.017500,0.300000,0.306475,0.300000,0.000000,0.310503,0.342236
0.020000,0.300000,0.302003,0.300000,0.000000,0.311103,0.386950
0.022500,0.300000,0.306242,0.300000,0.000000,0.300065,0.215804
0.025000,0.300000,0.290905,0.300000,0.000000,0.295982,0.241243
0.027500,0.300000,0.301672,0.300000,0.000000,0.292977,0.367746
0.030000,0.300000,0.308863,0.300000,0.000000,0.288441,0.356270
0.032500,0.300000,0.298635,0.300000,0.000000,0.284176,0.221985
0.035000,0.300000,0.294348,0.300000,0.000000,0.309281,0.272400
0.037500,0.300000,0.291909,0.300000,0.000000,0.300391,0.423039
0.040000,0.300000,0.288400,0.300000,0.000000,0.298727,0.321135
0.042500,0.300000,0.301496,0.300000,0.000000,0.308544,0.316315
0.045000,0.300000,0.289484,0.300000,0.000000,0.288166,0.224446
0.047500,0.300000,0.296795,0.300000,0.000000,0.291075,0.143845
0.050000,0.300000,0.302545,0.300000,0.000000,0.311661,0.468027
0.052500,0.300000,0.297669,0.300000,0.000000,0.300743,0.411740
0.055000,0.300000,0.308622,0.300000,0.000000,0.291772,0.434398
0.057500,0.300000,0.297070,0.300000,0.000000,0.314545,0.293307
0.060000,0.300000,0.306871,0.300000,0.000000,0.299963,0.387114
0.062500,0.300000,0.298622,0.300000,0.000000,0.295662,0.198963
0.065000,0.300000,0.301995,0.300000,0.000000,0.285517,0.201917
0.067500,0.300000,0.301822,0.300000,0.000000,0.297151,0.462542
0.070000,0.300000,0.299787,0.300000,0.000000,0.295409,0.139962
0.072500,0.300000,0.298861,0.300000,0.000000,0.305407,0.338070
0.075000,0.300000,0.295852,0.300000,0.000000,0.312161,0.068838
0.077500,0.300000,0.297056,0.300000,0.000000,0.291600,0.324216
0.080000,0.300000,0.302788,0.300000,0.000000,0.315010,0.189060
0.082500,0.300000,0.302794,0.300000,0.000000,0.293483,0.323647
0.085000,0.300000,0.304562,0.300000,0.000000,0.283548,0.301042
0.087500,0.300000,0.301543,0.300000,0.000000,0.309625,0.320486
0.090000,0.300000,0.292316,0.300000,0.000000,0.291238,0.393625
0.092500,0.300000,0.297123,0.300000,0.000000,0.300460,0.231437
0.095000,0.300000,0.301656,0.300000,0.000000,0.310539,0.443347
0.097500,0.300000,0.301483,0.300000,0.000000,0.301201,0.298192
0.100000,0.300000,0.299940,0.300000,0.000000,0.307485,0.225089
0.102500,0.300000,0.299178,0.300000,0.000000,0.297225,0.271320
0.105000,0.300000,0.299415,0.300000,0.000000,0.308735,0.479236
0.107500,0.300000,0.302862,0.300000,0.000000,0.301113,0.261831
0.110000,0.300000,0.303915,0.300000,0.000000,0.297150,0.239283
0.112500,0.300000,0.300405,0.300000,0.000000,0.295042,0.374611
0.115000,0.300000,0.288298,0.300000,0.000000,0.293275,0.359941
0.117500,0.300000,0.291551,0.300000,0.000000,0.300697,0.350043
0.120000,0.300000,0.300525,0.300000,0.000000,0.300365,0.416640
0.122500,0.300000,0.293625,0.300000,0.000000,0.297037,0.330209
0.125000,0.300000,0.292449,0.300000,0.000000,0.316208,0.183015
0.127500,0.300000,0.299533,0.300000,0.000000,0.313498,0.517543
0.130000,0.300000,0.294551,0.300000,0.000000,0.303034,0.376453
0.132500,0.300000,0.304739,0.300000,0.000000,0.298156,0.348713
0.135000,0.300000,0.303899,0.300000,0.000000,0.290376,0.506834
0.137500,0.300000,0.296447,0.300000,0.000000,0.289230,0.116061
0.140000,0.300000,0.294785,0.300000,0.000000,0.307230,0.336977
0.142500,0.300000,0.302871,0.300000,0.000000,0.301483,0.312630
0.145000,0.300000,0.294316,0.300000,0.000000,0.297829,0.483158
0.147500,0.300000,0.301039,0.300000,0.000000,0.282155,0.400156
0.150000,0.300000,0.300021,0.300000,0.000000,0.304816,0.308880
0.152500,0.300000,0.295620,0.300000,0.000000,0.292931,0.257522
0.155000,0.300000,0.303876,0.300000,0.000000,0.296834,0.408260
0.157500,0.300000,0.305987,0.300000,0.000000,0.275735,0.336380
0.160000,0.300000,0.300294,0.300000,0.000000,0.300378,0.066396
0.162500,0.300000,0.301433,0.300000,0.000000,0.287516,0.275484
0.165000,0.300000,0.304835,0.300000,0.000000,0.298674,0.295459
0.167500,0.300000,0.295962,0.300000,0.000000,0.281752,0.301881
0.170000,0.300000,0.309532,0.300000,0.000000,0.294902,0.402846
0.172500,0.300000,0.296567,0.300000,0.000000,0.301692,0.375006
0.175000,0.300000,0.295093,0.300000,0.000000,0.282165,0.241394
0.177500,0.300000,0.295771,0.300000,0.000000,0.320061,0.179264
0.180000,0.300000,0.303494,0.300000,0.000000,0.290708,0.312846
0.182500,0.300000,0.296368,0.300000,0.000000,0.299202,0.302386
