time,x,y,z,roll,pitch,yaw,p,q,r,motor_1,motor_2,motor_3,motor_4,battery_voltage
0.000000,0.000090,0.000140,0.502170,-0.038793,-0.218778,-0.013930,0.042518,0.017716,-0.022558,0.553763,0.536102,0.545895,0.521798,3.700000
0.002500,-0.000123,-0.000032,0.494234,0.103964,0.286663,0.003612,-0.015415,-0.051005,0.003736,0.548419,0.568147,0.546018,0.543919,3.699975
0.005000,0.000041,0.000101,0.506975,1.194284,-0.013904,0.001478,0.021006,-0.016842,-0.009229,0.572783,0.544500,0.525149,0.524851,3.699950
0.007500,0.000038,0.000043,0.497445,0.006835,-0.136090,-0.014647,-0.008993,-0.025994,0.000190,0.574172,0.586783,0.535088,0.569465,3.699925
0.010000,-0.000223,-0.000003,0.500075,0.140755,-0.785733,-0.013883,0.005285,0.013375,0.010943,0.556352,0.566524,0.563747,0.556269,3.699900
0.012500,-0.000242,-0.000115,0.500470,0.647846,0.893062,-0.019044,-0.005921,0.004555,-0.012465,0.542076,0.548046,0.553549,0.545244,3.699875
0.015000,-0.000308,-0.000081,0.493675,-0.099402,-0.053106,-0.023666,-0.025071,-0.018116,0.004876,0.557789,0.541744,0.595844,0.549821,3.699850
0.017500,-0.000349,-0.000159,0.500757,0.318281,-0.654946,-0.021979,0.018480,0.008402,0.004848,0.524547,0.558239,0.576068,0.584560,3.699825
0.020000,-0.000379,-0.000229,0.496332,0.913882,-0.694067,-0.021050,0.017414,-0.031109,-0.006280,0.539560,0.533223,0.532475,0.541144,3.699800
0.022500,-0.000184,0.000064,0.506292,0.480187,-0.376638,-0.006455,0.015686,0.014261,-0.006547,0.540988,0.589239,0.535575,0.551673,3.699775
0.025000,-0.000084,0.000264,0.502787,0.698395,-0.427523,-0.000631,0.029992,-0.009170,0.019383,0.553349,0.548349,0.544552,0.592048,3.699750
0.027500,-0.000030,0.000237,0.502053,-0.770106,0.183403,0.020297,-0.025992,-0.023009,0.012702,0.552074,0.556716,0.567457,0.517161,3.699725
0.030000,-0.000068,0.000275,0.506410,-0.134303,-0.103755,0.004831,0.003233,0.006322,0.010254,0.568881,0.533125,0.541783,0.557310,3.699700
0.032500,-0.000009,0.000275,0.505974,-0.285415,-0.334766,-0.005987,-0.013723,0.026165,0.005723,0.566329,0.536344,0.536464,0.557809,3.699675
0.035000,0.000176,0.000124,0.505594,-0.226032,0.469216,0.000860,-0.027462,0.012289,-0.003968,0.575593,0.548377,0.544188,0.561270,3.699650
0.037500,0.000277,0.000238,0.500529,0.122637,-0.419212,0.007261,-0.014936,-0.004444,-0.000895,0.527751,0.531011,0.545829,0.545809,3.699625
0.040000,0.000358,0.000244,0.502676,0.148519,-0.445925,0.025666,-0.009666,-0.028560,0.010449,0.576795,0.545817,0.551627,0.566826,3.699600
0.042500,0.000272,0.000184,0.500429,-0.067853,0.669098,0.036194,-0.000412,0.005805,0.013382,0.558553,0.547830,0.551340,0.537596,3.699575
0.045000,0.000446,0.000229,0.502524,0.255111,0.242027,0.061801,0.002472,0.024829,0.007022,0.538105,0.565340,0.570068,0.560726,3.699550
0.047500,0.000484,0.000190,0.504592,-0.312697,-0.493795,0.054788,-0.008772,-0.049112,0.001033,0.546491,0.521113,0.547037,0.559978,3.699525
0.050000,0.000527,0.000337,0.503511,0.489018,-0.095503,0.056702,-0.020957,0.010900,0.010073,0.580912,0.553298,0.565428,0.527827,3.699500
0.052500,0.000597,0.000464,0.501776,0.420955,-0.228939,0.062586,-0.015173,-0.010826,0.005971,0.555088,0.543795,0.568523,0.572201,3.699475
0.055000,0.000649,0.000587,0.498592,-0.019948,-0.669235,0.072508,-0.005908,-0.001363,0.005378,0.570465,0.547674,0.552566,0.547390,3.699450
0.057500,0.000659,0.000658,0.503525,-0.066770,0.009243,0.064009,-0.019749,-0.030881,-0.008588,0.539822,0.561789,0.530174,0.533287,3.699425
0.060000,0.000614,0.000539,0.507304,0.047321,0.009813,0.066177,-0.003713,0.001127,-0.001962,0.525280,0.548462,0.567002,0.544901,3.699400
0.062500,0.000623,0.000397,0.497612,0.675080,-0.222773,0.071388,0.029052,0.025012,-0.000616,0.537686,0.544182,0.549712,0.549794,3.699375
0.065000,0.000638,0.000489,0.501016,0.144557,0.324826,0.073519,0.023961,-0.004394,0.004368,0.536426,0.570617,0.561333,0.539276,3.699350
0.067500,0.000624,0.000705,0.498861,-0.011605,0.824557,0.070448,0.004793,0.021394,-0.009755,0.529366,0.514645,0.554028,0.557304,3.699325
0.070000,0.000621,0.000819,0.489427,-0.327257,0.104626,0.075921,-0.016703,-0.032543,0.006669,0.550318,0.543974,0.584812,0.530178,3.699300
0.072500,0.000720,0.000887,0.502620,-0.144563,-0.098871,0.085263,-0.003255,0.001697,-0.001788,0.506188,0.553591,0.505021,0.552377,3.699275
0.075000,0.000838,0.000958,0.499683,0.292459,-0.140576,0.092385,0.004738,-0.020149,0.000017,0.526663,0.548127,0.563662,0.519205,3.699250
0.077500,0.000844,0.000996,0.501194,-0.400059,0.034874,0.096875,-0.019176,0.024398,-0.015033,0.561358,0.526586,0.555900,0.556925,3.699225
0.080000,0.000764,0.000968,0.499282,-0.765791,0.235477,0.102424,0.005626,-0.004464,0.000516,0.563600,0.551058,0.521092,0.575309,3.699200
0.082500,0.000777,0.000970,0.495812,0.511380,-0.625308,0.100346,0.034059,0.015356,-0.007549,0.529749,0.549507,0.539708,0.540979,3.699175
0.085000,0.000685,0.000920,0.498854,-0.063491,0.640593,0.097607,-0.016929,-0.016312,-0.005587,0.533706,0.538441,0.545665,0.574830,3.699150
0.087500,0.000657,0.001000,0.500998,0.449443,0.330303,0.108537,-0.004662,0.025727,-0.006692,0.547118,0.525142,0.595279,0.549516,3.699125
0.090000,0.000817,0.000898,0.500248,0.482120,-0.616124,0.109659,0.014575,0.006555,-0.004863,0.533463,0.573851,0.596915,0.567627,3.699100
0.092500,0.000802,0.000875,0.504821,-0.041667,-0.049785,0.120358,0.015879,0.015590,-0.004255,0.557668,0.538783,0.543690,0.532535,3.699075
0.095000,0.000781,0.000805,0.490882,0.230595,0.318972,0.127309,0.022572,-0.007166,0.004916,0.565318,0.533888,0.555574,0.533346,3.699050
0.097500,0.000642,0.000937,0.501065,-0.627964,0.533521,0.119266,-0.002446,-0.018271,0.008635,0.549270,0.568494,0.575338,0.594489,3.699025
0.100000,0.000659,0.000899,0.503274,0.606402,-0.502539,0.119955,0.017320,0.011370,0.000203,0.562219,0.550644,0.519911,0.547517,3.699000
0.102500,0.000690,0.001042,0.506884,-0.595446,-0.633315,0.130024,0.009117,0.014352,-0.012452,0.570263,0.564623,0.517898,0.544538,3.698975
0.105000,0.000657,0.001163,0.496314,0.036255,0.026791,0.121999,-0.015070,0.014290,-0.004689,0.535475,0.573491,0.565969,0.574716,3.698950
0.107500,0.000518,0.001063,0.500916,-0.140497,-0.529346,0.119166,-0.026548,-0.008014,-0.025450,0.534809,0.531765,0.524674,0.577217,3.698925
0.110000,0.000565,0.001061,0.498518,0.234658,-0.262163,0.111684,0.019831,0.005331,0.002726,0.575556,0.518172,0.545187,0.549759,3.698900
0.112500,0.000598,0.001082,0.508144,0.976696,-0.370720,0.097175,-0.030591,0.025581,-0.009750,0.567305,0.537737,0.543150,0.558517,3.698875
0.115000,0.000637,0.001039,0.497536,0.397490,0.504418,0.084494,-0.018589,0.000591,0.021313,0.559512,0.575347,0.534963,0.536423,3.698850
0.117500,0.000671,0.001246,0.499798,-0.464248,0.121494,0.090490,-0.030146,-0.004638,0.011041,0.546235,0.553560,0.540401,0.535946,3.698825
0.120000,0.000663,0.001052,0.503320,-0.595456,-0.600539,0.085111,0.032279,-0.009908,-0.011555,0.550319,0.541939,0.556705,0.608180,3.698800
0.122500,0.000671,0.000811,0.502387,-0.037258,0.490813,0.094634,0.022745,0.010912,0.001905,0.556543,0.536342,0.553463,0.567123,3.698775
0.125000,0.000716,0.000795,0.497676,0.484378,-0.344694,0.108698,-0.022023,-0.039199,0.005990,0.583507,0.562416,0.529914,0.568056,3.698750
0.127500,0.000717,0.000769,0.498567,-0.156421,-0.912211,0.111497,0.018590,0.002913,0.010165,0.543373,0.535330,0.509062,0.525744,3.698725
