time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_alt,tof_range
0.000000,0.000744,0.000719,-0.000508,-0.022804,-0.001404,-9.780009,-0.098445,-0.007032
0.002500,-0.002537,0.004116,0.000259,-0.021255,-0.016474,-9.824913,0.054172,-0.009876
0.005000,0.001832,0.000694,-0.000599,0.012099,0.005526,-9.814058,-0.162811,-0.003330
0.007500,0.002296,0.002616,-0.000740,0.017272,-0.027798,-9.814795,-0.093402,0.013569
0.010000,-0.004759,0.001444,-0.002032,0.040956,0.008837,-9.838138,0.008792,0.012345
0.012500,-0.003176,0.001858,-0.002665,-0.022210,-0.000366,-9.825065,-0.004709,-0.012212
0.015000,0.000314,0.001977,0.002684,0.041517,-0.052849,-9.832616,-0.054318,-0.008445
0.017500,-0.000770,0.000662,-0.004095,-0.006143,0.004557,-9.831410,-0.096388,0.013215
0.020000,-0.000039,-0.001250,-0.000043,0.001865,0.040079,-9.809355,-0.099139,-0.013446
0.022500,-0.002079,0.003619,-0.000153,-0.002759,-0.002320,-9.787856,0.067084,-0.010243
0.025000,0.002148,0.005638,-0.000111,0.005981,0.004246,-9.762288,0.017161,-0.000085
0.027500,0.001901,0.005798,0.001626,0.016455,-0.016864,-9.793525,0.105386,-0.004376
0.030000,0.000164,0.000400,-0.000901,0.024486,0.056012,-9.766903,-0.156210,0.016360
0.032500,0.002754,-0.000039,0.001598,-0.005768,0.052963,-9.834674,0.068654,-0.005784
0.035000,0.001145,0.000398,0.004850,0.002094,0.040929,-9.765033,-0.002583,-0.005423
0.037500,-0.002093,0.001321,-0.000366,-0.021502,0.049541,-9.814116,-0.033552,0.002372
0.040000,0.000904,0.001622,-0.004953,0.015997,-0.020798,-9.754210,0.013888,0.007261
0.042500,-0.002335,-0.000685,-0.000342,0.006279,-0.029955,-9.829527,0.023806,-0.000595
0.045000,0.002148,-0.001861,-0.000581,-0.018342,0.066954,-9.781373,0.003216,0.004524
0.047500,-0.000117,0.001872,0.000987,-0.029344,-0.003798,-9.834968,-0.130540,0.008227
0.050000,-0.000446,-0.006864,-0.004859,0.003795,-0.019550,-9.833344,-0.075343,-0.007438
0.052500,-0.001656,0.001504,0.000799,0.030834,0.010943,-9.753963,0.032879,0.005986
0.055000,0.002989,-0.000555,-0.001021,0.037433,-0.026383,-9.826849,0.009647,-0.011173
0.057500,-0.000371,0.003654,0.001966,-0.030528,0.006240,-9.800787,-0.089602,-0.000796
0.060000,-0.001039,0.004306,-0.001257,0.022054,-0.019496,-9.834325,0.096483,-0.007744
0.062500,-0.000852,0.004364,0.002126,0.018821,0.021372,-9.805835,0.004070,-0.003356
0.065000,0.001306,0.000905,-0.003678,0.032683,-0.020606,-9.758700,0.041956,0.016230
0.067500,0.000899,-0.001020,0.000052,0.011223,-0.027970,-9.799971,0.157297,0.010174
0.070000,0.001015,-0.000238,-0.002362,-0.007891,-0.022179,-9.819241,0.034698,0.011161
0.072500,0.001059,0.002452,-0.001181,0.018548,0.007934,-9.815952,-0.045532,-0.013931
0.075000,0.005234,-0.002266,0.006647,-0.060813,-0.014574,-9.809526,-0.194502,0.011947
0.077500,-0.000983,0.005150,-0.002307,-0.023401,0.020754,-9.805531,-0.131849,-0.002669
0.080000,-0.001241,0.000943,-0.000899,-0.020521,-0.000757,-9.797134,-0.147648,0.013318
0.082500,-0.001977,0.002970,-0.002780,-0.015875,0.014492,-9.787827,-0.171910,-0.001791
0.085000,0.001512,-0.002597,-0.000738,-0.035874,-0.022284,-9.821461,-0.008433,-0.008727
0.087500,0.002764,-0.000509,-0.000354,-0.013319,-0.003872,-9.792489,-0.254833,0.012355
0.090000,-0.000268,-0.002900,-0.001780,-0.013066,-0.000687,-9.846204,-0.019557,-0.000368
0.092500,-0.002040,0.004242,0.003859,-0.006219,-0.019103,-9.801980,-0.004607,-0.012848
0.095000,-0.002001,0.001359,0.002831,0.006698,-0.011745,-9.824354,0.025375,-0.012137
0.097500,0.001598,0.003144,-0.002297,-0.029529,0.009441,-9.810646,0.057932,0.003605
0.100000,0.001825,0.001905,0.002006,-0.010686,-0.040032,-9.794469,0.035940,-0.007349
0.102500,0.001337,0.002893,-0.001158,-0.002160,-0.010580,-9.774176,0.066304,-0.002282
0.105000,-0.001612,0.000927,-0.002986,-0.043752,-0.002951,-9.813142,-0.093572,0.024412
0.107500,0.000578,0.001253,-0.001737,-0.001739,-0.030598,-9.798357,-0.064976,-0.008908
0.110000,0.000297,0.001526,-0.003050,0.005634,-0.048798,-9.801936,0.323961,0.002904
0.112500,0.000546,0.002740,0.002311,0.017890,-0.001882,-9.848533,0.099930,-0.020287
0.115000,0.002139,0.002804,-0.002123,-0.031149,-0.023608,-9.800407,0.113097,-0.017588
0.117500,0.000558,0.008610,0.003159,-0.003578,-0.040489,-9.758505,-0.173716,-0.008198
0.120000,0.001670,0.005853,0.000360,0.029259,-0.019789,-9.784255,0.130046,-0.001586
0.122500,0.000178,-0.002590,-0.000969,-0.040967,0.005863,-9.815976,-0.209005,-0.005235
0.125000,0.000719,0.001401,-0.001209,-0.000160,0.009248,-9.816403,-0.191051,-0.005689
