file,episode_id,n,note,corr_t_vbat,h1_V0,h1_dV,h1_tau_s,h1_rmse,h1_aicc,h2_a,h2_b,h2_rmse,h2_aicc,h1lin_c0,h1lin_k,h1lin_rmse,h1lin_aicc,mv_b_vbat,mv_c_t,mv_cond_number,mv_rmse
stampfly_udp_20260622T161016.jsonl,0,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260622T161055.jsonl,0,1,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260622T165808.jsonl,0,1,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260622T173150.jsonl,0,5,,-0.9952070485518869,2.396253732741294,0.9999970595364097,549.6768960199387,0.01640311833230758,-11.102838200128467,3.9620195591304546,-0.3885858140016627,0.016038934198827213,-31.327361252085886,2.396422532397711,0.0017796316734389013,0.016399822945362047,-31.104847402247707,-1.8411922317319966,-0.006968337921061632,20.402926749012096,0.015409290347972978
stampfly_udp_20260622T181806.jsonl,0,1,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260622T183043.jsonl,0,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260622T191826.jsonl,0,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260624T125432.jsonl,0,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260627T020137.jsonl,0,27,,-0.9918287836662305,2.4675610580045473,0.20848027625256435,201.40864867553512,0.01600780508948782,-216.22918004920277,3.554263784813496,-0.2775577344508913,0.015628209517472142,-220.06859554809103,2.479701816385659,0.0006558524260091731,0.016429052562448608,-217.37001673942868,-0.34197939455029397,-0.00015533962122103216,15.612866552386237,0.015597440825185783
stampfly_udp_20260627T164611.jsonl,0,1,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260627T165713.jsonl,2,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260629T145526.jsonl,0,15,,-0.9985990703010224,2.703472835855863,0.028681208256756994,53.56609322827505,0.020142643719833615,-108.96566581372184,2.9212275885202934,-0.05256144041935859,0.020276598383866515,-111.94863540636379,2.709489264772063,0.00013485248023800106,0.020531240990636843,-111.57422806328674,-1.1477441438515215,-0.002992795597811484,37.77066832493723,0.017378261683626495
stampfly_udp_20260717T211648.jsonl,0,2,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260717T223206.jsonl,0,4,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260717T224508.jsonl,0,4,"n<5, skipped",,,,,,,,,,,,,,,,,,
stampfly_udp_20260717T224906.jsonl,0,5,,-0.9999601623554661,2.416972006913212,0.07414176512170105,33.24181231654379,0.008650551508343726,-17.501322018807898,3.44086986500735,-0.24689286334432078,0.008770578261565385,-37.363525384473036,2.4344369131605625,0.000825826318070634,0.008773198972335852,-37.36053776013762,-0.9401932002300731,-0.0023197083262830164,224.05974966005326,0.008767453232465543
stampfly_udp_20260717T231940.jsonl,0,5,,-0.9999104787730275,2.412164431168623,0.828050767089105,599.9990273599151,0.017671810871150814,-10.35784515097302,3.9088157118809694,-0.3651201821478089,0.017789389158703484,-30.291531141106745,2.4125979629782006,0.0013255339899259538,0.017640078338877794,-30.375817874338864,16.130629380164127,0.05941628873218549,149.46594936383065,0.014003476222230292
stampfly_udp_20260718T022929.jsonl,0,13,,-0.9993428171022594,2.443166337110268,0.12645556270334313,137.04176804400234,0.009709897875493359,-111.83318070230264,3.24184535983631,-0.19381907650336708,0.009766717244371378,-115.14814669893745,2.4485672534054017,0.0006039775986554481,0.009931850201800391,-114.71222083958268,-0.5956371415474915,-0.0012572190987618177,55.15698350115067,0.00962629347435284
stampfly_udp_20260718T064222.jsonl,0,1,"n<5, skipped",,,,,,,,,,,,,,,,,,
