label,duty_min,duty_max,tilt_max,velz_max,settle_window,duty_steady_tol,f_up_std_max,n,n_dates,T_p5,T_p50,T_p95,T_range_over_median,corr_T_Vbar,corr_alpha_beta,cond_number_XtX,r2,alpha,alpha_se,beta,beta_se,gamma,gamma_se
baseline,0.08,0.92,10.0,0.8,4,0.01,5.0,76835,11,0.0805895670153713,0.09082672205120843,0.09836062098257999,0.1956588718151614,0.08810938804888645,-0.9950330473128325,4138075.5628912165,0.02078289250099996,22.607686068160163,0.6598887772105282,-12.047172435366672,0.3769244082595018,4.087481521769446,0.05423344457230164
tilt<=15deg,0.08,0.92,15.0,0.8,4,0.01,5.0,77386,11,0.08059200992032023,0.09083153948096914,0.0983525040586802,0.19553223736872943,0.0880224000576348,-0.9950508764923292,4152081.119506391,0.020882180335082934,22.693920731454185,0.6574495333172693,-12.099019363705446,0.3755280970771862,4.095239061835918,0.05402975607474376
tilt<=20deg,0.08,0.92,20.0,0.8,4,0.01,5.0,77640,11,0.08059363706407648,0.09082966163546802,0.09834891308843309,0.19547883042452474,0.08774474920611784,-0.9950633240687399,4162306.0597034004,0.020830942969671362,22.694314630492652,0.6566567496397171,-12.103033988493511,0.3750822896211069,4.096522109443173,0.053965200143190235
tilt<=30deg,0.08,0.92,30.0,0.8,4,0.01,5.0,77773,11,0.08058801797774849,0.09082705937179525,0.09834928226267607,0.19555036139861012,0.08706533144027308,-0.9950734401812381,4166358.5894996286,0.020696970088385558,22.679066258982346,0.6564538816472674,-12.102244520548235,0.3749797510176846,4.097819746942089,0.053951253267763045
vz<=1.2,0.08,0.92,10.0,1.2,4,0.01,5.0,76882,11,0.08055931584891128,0.09082499615870665,0.09836005360574789,0.19598941381436208,0.08470236410156408,-0.9947455727056449,3828174.543788182,0.02152129072237252,22.809845037312815,0.6366400074596693,-12.161010460072692,0.3622129419253184,4.103408625227268,0.051928673093340844
vz<=2.0,0.08,0.92,10.0,2.0,4,0.01,5.0,76892,11,0.08055238783295511,0.09082488804564734,0.09836348646827028,0.19610372243303575,0.08671361685608044,-0.9947506411795726,3826846.622696104,0.02189148277764774,22.90049093987696,0.6374724522718705,-12.19119058148013,0.36269822782688155,4.1042675115810905,0.05199937394719176
settle_window=2(40ms~2.5tau),0.08,0.92,10.0,0.8,2,0.01,5.0,85864,11,0.07940558085466788,0.09076297908401136,0.09865691157046859,0.21210554027740133,0.041994667628356804,-0.9911833891003861,1710609.5305218508,0.012020302576723041,16.84223242520027,0.5392467262255753,-8.839048701055994,0.296057911234988,3.6252708245826946,0.04114479882235422
settle_window=3(60ms~3.75tau),0.08,0.92,10.0,0.8,3,0.01,5.0,80162,11,0.08008803509937686,0.09079577849639983,0.09845853587509043,0.20232769716757248,0.07160950888774137,-0.9929849870730363,2575747.379520988,0.017069278551265943,18.69619282359618,0.5596773093302062,-9.804257672013884,0.3141761320538311,3.762243821446066,0.04456769464227242
settle_window=6(120ms~7.5tau),0.08,0.92,10.0,0.8,6,0.01,5.0,71631,11,0.08123157027310957,0.0909045321242761,0.09826543303972904,0.18738188700352568,0.09098313567211509,-0.9976194018643846,9934221.875101717,0.025595799817856313,36.35839468652741,0.9748683980021414,-20.23903217054624,0.5672450034093741,5.309414139392479,0.08277019746140292
settle_tol=0.02(loose),0.08,0.92,10.0,0.8,4,0.02,5.0,82431,11,0.07954246494172369,0.09077242164194421,0.09854503291594706,0.20934296596360322,0.04720099175164421,-0.9914739848324303,1816050.10058392,0.01580918228994066,16.79783106720776,0.4769588296422078,-8.847334623875707,0.2623281377035825,3.644400423813972,0.036505335689463764
settle_tol=0.005(tight),0.08,0.92,10.0,0.8,4,0.005,5.0,66314,11,0.08191939552415735,0.09096681021801145,0.09810534537636494,0.1779324768387093,0.10042793127715836,-0.9980297794654902,13919835.660030533,0.02159915112309463,35.21559491504961,1.1929592827807851,-19.55912584258909,0.7001863024095976,5.205762529578043,0.10301911524295093
"NO_SETTLING(window=1, upper bound, admits transients)",0.08,0.92,10.0,0.8,1,1.0,5.0,98627,11,0.0784618546556345,0.09070991292004874,0.09912458736862054,0.2277891362457603,0.022337559216735997,-0.9901227422860557,1242544.716122669,0.006379960511632032,15.014950971699001,0.602802617277912,-7.866388724349213,0.3255883834869831,3.458569965228535,0.0445201106783982
"ALL_RELAXED(tilt30,vz2.0,no-settle)",0.08,0.92,30.0,2.0,1,1.0,5.0,101124,11,0.07797691356298499,0.09067524510970526,0.09913099567218243,0.2332950088373487,0.01739694403869208,-0.9890260638559104,1024588.4542609983,0.008568493480491712,16.225823394748268,0.5493212835169631,-8.502734991781727,0.2928369205456058,3.539043661020654,0.039545853281569336
